City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Yar-Sale,RU,66.8333,70.8333,34.11,90,97,11.16,overcast clouds
1,Kozhva,RU,65.1073,57.0459,36.52,72,99,10.13,overcast clouds
2,Basco,PH,20.4487,121.9702,80.69,74,90,17.49,overcast clouds
3,Laje,BR,-10.1833,-40.9667,91.81,21,96,9.51,overcast clouds
4,Dubasari,MD,47.2631,29.1608,49.3,63,96,6.85,overcast clouds
5,Muros,ES,42.7762,-9.0603,66.83,91,26,6.49,scattered clouds
6,Port Hardy,CA,50.6996,-127.4199,48.27,71,100,8.5,overcast clouds
7,Chalmette,US,29.9427,-89.9634,76.08,58,100,1.99,overcast clouds
8,Bluff,NZ,-46.6,168.3333,46.58,71,100,19.26,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,47.91,67,81,20.22,broken clouds
10,Husavik,IS,66.0449,-17.3389,38.86,98,100,8.55,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,47.7,76,92,1.01,overcast clouds
12,Bodden Town,KY,19.2833,-81.25,87.01,73,100,8.99,overcast clouds
13,Port Blair,IN,11.6667,92.75,80.46,85,100,7.23,overcast clouds
14,Ahipara,NZ,-35.1667,173.1667,60.55,81,52,3.89,broken clouds
15,Lebu,CL,-37.6167,-73.65,56.32,72,0,18.88,clear sky
16,Coahuayana,MX,18.7333,-103.6833,91.11,56,2,6.53,clear sky
17,Jamestown,US,42.097,-79.2353,56.52,56,75,7.0,broken clouds
18,Bredasdorp,ZA,-34.5322,20.0403,50.29,74,0,3.8,clear sky
19,Santiago,CL,-33.4569,-70.6483,85.15,12,0,13.8,clear sky
20,Albany,US,42.6001,-73.9662,53.17,74,86,1.01,overcast clouds
21,Vaini,TO,-21.2,-175.2,75.36,83,75,9.22,broken clouds
22,Sembakung,ID,3.8167,117.25,73.47,99,92,2.19,overcast clouds
23,Lagoa,PT,39.05,-27.9833,68.13,74,4,23.64,clear sky
24,Busselton,AU,-33.65,115.3333,57.04,87,100,18.88,light rain
25,Rawson,AR,-43.3002,-65.1023,74.35,30,0,12.01,clear sky
26,Ushuaia,AR,-54.8,-68.3,50.38,50,99,5.3,overcast clouds
27,Tshikapa,CD,-6.4167,20.8,74.68,81,100,3.44,overcast clouds
28,Avarua,CK,-21.2078,-159.775,75.25,78,75,8.05,broken clouds
